X (cm),Y (cm),Adjusted Y (cm),start,end,A,damp_factor,omega,phi,c,d,stdev-A,stdev-damp,stdev-omega,stdev-phi,stdev-c,stdev-d
31.0,53.0,98.93817595443396,3.5552,8.5552,0.0011892283201481,0.0947044793051169,3.49016528408067,-0.017761428522174,1.3986866528393709,-3.8436295954531006e-05,4.66347141919774e-07,0.0001589486670384,0.0001595530350501,0.0004184806330936,3.098663066242895e-07,7.657829595349363e-08
31.0,64.0,109.52161077970982,3.2564,8.2564,0.0012329950351373,0.0931214816374019,3.35386034531623,0.13312396346688393,1.4090794683235257,-3.217817397774125e-05,7.215568149825254e-07,0.000229128999507,0.0002729566302986,0.0006885617274143,5.12062760623591e-07,1.2687342082253314e-07
31.0,72.0,118.0737710830473,3.1976,8.1976,0.0013676830090367,0.0862854732221447,3.222145680160419,0.04843879522713923,1.4174377326595824,-3.8436715041869006e-05,4.796189635257982e-07,0.000134314918426,0.0001670297847277,0.0004186789611046,3.52248189785571e-07,8.76567139016548e-08
31.0,84.0,129.9937057824388,3.5436,8.5436,0.0008476006592671,0.0985051333163802,3.0640894218772083,-0.0200990772386976,1.4292209489770722,-9.664561122372683e-06,4.2204314793507394e-07,0.0002021355620707,0.000229133920471,0.0005820248673027,3.080599262313701e-07,7.632854268059858e-08
31.0,93.0,136.0799307027941,8.6252,16.6252,0.0010573321558745,0.0873174860606163,3.016938808917043,0.03909138034031168,1.435241538705085,3.7549398575561753e-06,6.594250759932637e-07,0.0001676224103652,0.0001649510015269,0.0006464540473821,4.075195563773292e-07,6.11671157852586e-08
31.2,41.0,86.15927787449642,8.7284,16.7284,0.0012568383177891,0.1104138986254469,3.716505933505475,0.02095204648825577,1.3863568114233988,-2.502648053589665e-05,8.204123463714075e-07,0.000182477510872,0.0001879829818484,0.0006803932163124,4.884359532147622e-07,7.616150454441006e-08
31.5,21.0,66.06720813358393,4.7112,9.7112,0.0010219409465025,0.1110750571920156,4.1614157350180525,0.0625175657182431,1.367036742198553,-1.9142762826368466e-05,6.057058621767506e-07,0.0002453863294923,0.0002426557151686,0.0006151079243045,3.936391407568762e-07,1.004592391198718e-07
31.5,31.0,75.66040621037567,4.5256,9.5256,0.0013407909582244,0.1135120200259481,3.909272521640912,-0.0367298038432875,1.3763414232454312,-4.710011060816288e-05,8.300283729046968e-07,0.0002480634621276,0.0002722603915119,0.0006705167566181,5.44840701647985e-07,1.365905659665262e-07
32.0,13.0,57.06762392833173,4.122,9.122,0.0008958018840632,0.1269473816193373,4.404825702119217,-0.009819005750041132,1.3586445072128068,-3.9071493633993056e-05,4.517187091955976e-07,0.000207384677892,0.0002278514962247,0.0005483479638105,2.958676565909693e-07,7.608771097914722e-08
32.0,4.0,48.64086360788619,3.0032,8.0032,0.0009505553176326,0.1239201488229237,4.7178273836816444,0.0964997202411122,1.350376919225347,-4.208372461385733e-05,6.696353182931467e-07,0.0002931440185453,0.0003052825031888,0.0007535148390507,4.2867114617964617e-07,1.0984667549623365e-07
40.0,64.0,98.87621300568402,3.8468,8.8468,0.0017590960396462,0.1262604992893795,3.431528324533679,0.0282742660861462,1.4075805215357258,-2.374594816424849e-05,6.948722377026325e-07,0.0001656319297956,0.0001729881168374,0.0004282324323737,4.511076873781841e-07,1.1086615937118961e-07
40.0,75.0,110.0227756902734,7.0,12.0,0.0013882874398738,0.1209641492067196,3.301184649511563,0.1820734394864412,1.418519268692792,-1.9300749992082017e-05,5.981809718394817e-07,0.0001740691783821,0.0001931435586846,0.0004648147905062,3.947729493524827e-07,9.725604823986341e-08
40.0,83.0,119.91169563155536,6.758,11.758,0.0008554252166004,0.128854806202302,3.172727318865724,0.14214794938292608,1.4282708765920658,-2.2354386159723047e-06,8.430181556690504e-07,0.0004097122093,0.0005041410622974,0.0012132581736404,6.06216891886559e-07,1.4932271340997457e-07
40.0,86.0,122.62370442679692,5.8044,10.8044,0.0011337421051067,0.1145134223929885,3.126369062372191,-0.0375609533383608,1.4309263977665514,-2.8595336650441464e-06,7.598130583544339e-07,0.0002731426846929,0.0003266004165736,0.0008010777894787,5.48687917722139e-07,1.353627610884301e-07
40.0,94.0,135.5124071450207,4.8176,9.8176,0.0009129505740281,0.098137576281895,3.053460472237312,-0.1109465793889399,1.443650761307177,2.305504126907257e-05,5.650101896961267e-07,0.0002549886851047,0.0002840621708088,0.000730543599933,4.152652588280562e-07,1.0187463237877809e-07
40.5,23.0,57.24351299550896,4.1472,9.1472,0.0014511309348505,0.1517685583893023,4.252932538827055,0.020272436231946855,1.3672935397643422,-1.90596819237187e-05,4.7678417004027154e-07,0.0001444114097276,0.0001475081744585,0.0003523228822714,3.026200105122712e-07,7.718291829345924e-08
40.5,31.0,66.00352310104617,5.242,10.242,0.0012031148086824,0.1488675833168033,4.058746725889263,0.05229905578500427,1.3758466613553595,-2.815322106795412e-05,6.161272950473373e-07,0.0002217704588945,0.0002321063941803,0.0005526731948013,3.9067872322040907e-07,9.841017708628775e-08
