X (cm),Y (cm), start(s), end(s), omega, stdev-Y (cm), stdev-omega, sensor used
43.6, 209.9351458392217, 50, 65, 3.8279330923324175, 0.2972227771904093, 0.0006454053904566656, 1
43.6, 202.79404252618596, 97.6, 111, 3.8957376161905737, 0.2972227771904093, 0.00035129141180207795, 1
43.6, 192.11112070459043, 198.3, 211, 4.052936990990379, 0.2972227771904093, 0.0006897792353052671, 1
43.6, 172.6404637925842, 340.1, 355, 4.408260166970453, 0.2972227771904093, 0.0013360163549427189, 1
43.6, 163.6460894207515, 421.7, 436, 4.559290808035283, 0.2972227771904093, 0.0011685829787863328, 1
43.6, 165.14490349369643, 473.5, 485, 4.4638731943291035, 0.2972227771904093, 0.0025331069453084273, 1
43.6, 158.1226456509024, 502, 515, 4.605222009849808, 0.2972227771904093, 0.0008115647664665646, 1
43.6, 148.88118547888288, 561.8, 576, 4.814588323461268, 0.2972227771904093, 0.001114927810152933, 1
43.6, 138.30423748120901, 615.2, 627, 5.164990416573421, 0.2972227771904093, 0.0014368531101292999, 1
43.6, 132.09418463093365, 686, 698, 5.305834399900697, 0.2972227771904093, 0.000866540982630115, 1
43.6, 127.82096385164263, 744, 756, 5.4718951650443834, 0.2972227771904093, 0.0010092140201259233, 1
43.6, 124.82704975283818, 798.8, 808, 5.567971674484944, 0.2972227771904093, 0.0016391333809628302, 1
43.6, 116.94389941206154, 970.2, 980, 5.960235438340121, 0.2972227771904093, 0.001601130400170124, 1
43.6, 111.17352373913567, 1056, 1065, 6.188745399838177, 0.2972227771904093, 0.0011278596582656895, 1
